2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0004-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0006-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0009-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0012-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0014-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0015-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0016-a-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0016-b-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0018-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0019-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0020-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0021-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0029-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0031-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0032-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0033-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0037-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0038-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0042-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0044-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0047-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0048-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0049-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0063-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0067-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0072-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0078-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0082-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0084-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0085-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0086-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0088-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0089-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0090-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0092-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0098-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB02/is/IB02-0105-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0001-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0002-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0003-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0004-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0005-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0006-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0007-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0008-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0009-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0010-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0011-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0012-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0013-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0017-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0018-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0019-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0020-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0021-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0024-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0025-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0028-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0029-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0030-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0031-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0032-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0033-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0035-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0037-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0038-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0039-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0040-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0041-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0042-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0043-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0044-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0048-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0050-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0051-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0053-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0055-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0056-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0057-is.xml
2021-10-14|21:10:38.0000000000|Manuscripts/Manuscripts/Landsbókasafn Íslands - Háskólabókasafn/IB/IB04/is/IB04-0059-is.xml
